"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H2,H1,H3";"STAB_MX_2u";3;"Stabilizer 2u";;;
2;"SW15";"ROT_Alps_EC11E-Switch";1;"ROTARY";;;
3;"SW68";"SW_SPST_TL3342";1;"RESET";;;
4;"H4";"STAB_MX_6.25u";1;"Stabilizer 6.25u";;;
5;"SW69";"SW_SPST_TL3342";1;"BOOT";;;
6;"D59,D50,D26,D13,D31,D56,D57,D60,D34,D53,D58,D51,D54,D45,D18,D16,D62,D42,D36,D40,D27,D63,D64,D33,D11,D12,D48,D67,D46,D23,D21,D61,D38,D30,D35,D17,D37,D3,D65,D4,D28,D8,D52,D32,D10,D1,D20,D43,D22,D9,D29,D55,D25,D14,D66,D44,D49,D41,D6,D5,D47,D7,D15,D24,D19,D2,D39";"D_SOD-323";67;"D";;;
7;"LED51,LED48,LED45,LED15,LED65,LED31,LED64,LED33,LED26,LED21,LED6,LED61,LED13,LED30,LED62,LED60,LED43,LED19,LED34,LED7,LED28,LED12,LED41,LED42,LED67,LED37,LED38,LED54,LED2,LED46,LED3,LED52,LED23,LED63,LED55,LED47,LED66,LED8,LED11,LED36,LED40,LED50,LED22,LED24,LED5,LED58,LED1,LED4,LED27,LED39,LED56,LED32,LED10,LED59,LED35,LED9,LED17,LED20,LED16,LED25,LED49,LED53,LED44,LED29,LED57,LED14,LED18";"LED_6028R";67;"SK6812MINI-E";;;
8;"R1,R4,R5";"R_0805_2012Metric";3;"10k";;;
9;"SW39";"SW_MX_HS_CPG151101S11_1u";1;"K";;;
10;"SW55";"SW_MX_HS_CPG151101S11_1u";1;"/";;;
11;"C11,C8,C6,C2,C7,C3,C1,C10,C9,C5,C4";"C_0805_2012Metric";11;"100nf";;;
12;"SW60";"SW_MX_HS_CPG151101S11_1u";1;"SUPER";;;
13;"SW23";"SW_MX_HS_CPG151101S11_1u";1;"U";;;
14;"SW64";"SW_MX_HS_CPG151101S11_1u";1;"FN1";;;
15;"SW37";"SW_MX_HS_CPG151101S11_1u";1;"H";;;
16;"SW44";"SW_MX_HS_CPG151101S11_1u";1;"PgDn";;;
17;"C16,C17,C12,C13";"C_0805_2012Metric";4;"1uf";;;
18;"SW6";"SW_MX_HS_CPG151101S11_1u";1;"5";;;
19;"SW16";"SW_MX_HS_CPG151101S11_1u";1;"TAB";;;
20;"SW9";"SW_MX_HS_CPG151101S11_1u";1;"8";;;
21;"SW49";"SW_MX_HS_CPG151101S11_1u";1;"V";;;
22;"U1";"WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm";1;"Flash";;;
23;"SW36";"SW_MX_HS_CPG151101S11_1u";1;"G";;;
24;"SW54";"SW_MX_HS_CPG151101S11_1u";1;".";;;
25;"SW48";"SW_MX_HS_CPG151101S11_1u";1;"C";;;
26;"SW22";"SW_MX_HS_CPG151101S11_1u";1;"Y";;;
27;"SW25";"SW_MX_HS_CPG151101S11_1u";1;"O";;;
28;"SW42";"SW_MX_HS_CPG151101S11_1u";1;"'";;;
29;"SW3";"SW_MX_HS_CPG151101S11_1u";1;"2";;;
30;"SW32";"SW_MX_HS_CPG151101S11_1u";1;"A";;;
31;"R3,R2";"R_0805_2012Metric";2;"27";;;
32;"SW28";"SW_MX_HS_CPG151101S11_1u";1;"]";;;
33;"SW62";"SW_MX_HS_CPG151101S11_1u";1;"SPACE";;;
34;"SW2";"SW_MX_HS_CPG151101S11_1u";1;"1";;;
35;"SW10";"SW_MX_HS_CPG151101S11_1u";1;"9";;;
36;"SW46";"SW_MX_HS_CPG151101S11_1u";1;"Z";;;
37;"SW31";"SW_MX_HS_CPG151101S11_1u";1;"CAPS";;;
38;"SW14";"SW_MX_HS_CPG151101S11_1u";1;"BACK";;;
39;"SW13";"SW_MX_HS_CPG151101S11_1u";1;"=";;;
40;"J3";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"LEDs";;;
41;"SW33";"SW_MX_HS_CPG151101S11_1u";1;"S";;;
42;"SW1";"SW_MX_HS_CPG151101S11_1u";1;"ESC";;;
43;"U2";"SOT-23-5";1;"V Reg";;;
44;"SW29";"SW_MX_HS_CPG151101S11_1u";1;"\";;;
45;"SW11";"SW_MX_HS_CPG151101S11_1u";1;"0";;;
46;"SW61";"SW_MX_HS_CPG151101S11_1u";1;"ALT";;;
47;"SW58";"SW_MX_HS_CPG151101S11_1u";1;"HOME";;;
48;"SW65";"SW_MX_HS_CPG151101S11_1u";1;"LEFT";;;
49;"SW53";"SW_MX_HS_CPG151101S11_1u";1;",";;;
50;"SW67";"SW_MX_HS_CPG151101S11_1u";1;"RIGHT";;;
51;"SW8";"SW_MX_HS_CPG151101S11_1u";1;"7";;;
52;"SW34";"SW_MX_HS_CPG151101S11_1u";1;"D";;;
53;"C14,C15";"C_0805_2012Metric";2;"22pf";;;
54;"SW35";"SW_MX_HS_CPG151101S11_1u";1;"F";;;
55;"SW40";"SW_MX_HS_CPG151101S11_1u";1;"L";;;
56;"J2";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"OLED";;;
57;"SW43";"SW_MX_HS_CPG151101S11_1u";1;"ENTER";;;
58;"SW63";"SW_MX_HS_CPG151101S11_1u";1;"FN2";;;
59;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal";;;
60;"SW4";"SW_MX_HS_CPG151101S11_1u";1;"3";;;
61;"SW57";"SW_MX_HS_CPG151101S11_1u";1;"UP";;;
62;"SW24";"SW_MX_HS_CPG151101S11_1u";1;"I";;;
63;"SW56";"SW_MX_HS_CPG151101S11_1u";1;"RSHIFT";;;
64;"R6";"R_0805_2012Metric";1;"1k";;;
65;"SW51";"SW_MX_HS_CPG151101S11_1u";1;"N";;;
66;"SW59";"SW_MX_HS_CPG151101S11_1u";1;"CTRL";;;
67;"SW30";"SW_MX_HS_CPG151101S11_1u";1;"PgUp";;;
68;"SW47";"SW_MX_HS_CPG151101S11_1u";1;"X";;;
69;"SW7";"SW_MX_HS_CPG151101S11_1u";1;"6";;;
70;"SW38";"SW_MX_HS_CPG151101S11_1u";1;"J";;;
71;"J1";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"UD";;;
72;"SW27";"SW_MX_HS_CPG151101S11_1u";1;"[";;;
73;"SW18";"SW_MX_HS_CPG151101S11_1u";1;"W";;;
74;"SW12";"SW_MX_HS_CPG151101S11_1u";1;"-";;;
75;"SW20";"SW_MX_HS_CPG151101S11_1u";1;"R";;;
76;"SW5";"SW_MX_HS_CPG151101S11_1u";1;"4";;;
77;"SW26";"SW_MX_HS_CPG151101S11_1u";1;"P";;;
78;"SW66";"SW_MX_HS_CPG151101S11_1u";1;"DOWN";;;
79;"U3";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
80;"SW41";"SW_MX_HS_CPG151101S11_1u";1;";";;;
81;"SW21";"SW_MX_HS_CPG151101S11_1u";1;"T";;;
82;"SW50";"SW_MX_HS_CPG151101S11_1u";1;"B";;;
83;"SW52";"SW_MX_HS_CPG151101S11_1u";1;"M";;;
84;"SW45";"SW_MX_HS_CPG151101S11_1u";1;"LSHIFT";;;
85;"J4";"JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal";1;"Switch";;;
86;"SW19";"SW_MX_HS_CPG151101S11_1u";1;"E";;;
87;"SW17";"SW_MX_HS_CPG151101S11_1u";1;"Q";;;
